,Utility Name,Plant Code,Plant Name,Generator ID,Technology,Ownership,Plant Balance,Owner #0,% Owned #0,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5,Owner #6,% Owned #6,Owner #7,% Owned #7,Owner #8,% Owned #8,Owner #9,% Owned #9,Owner #10,% Owned #10,Owner #11,% Owned #11,Owner #12,% Owned #12,Owner #13,% Owned #13,Owner #14,% Owned #14
8922,PacifiCorp,8066.0,Jim Bridger,1,Conventional Steam Coal,J,35623674.0,Idaho Power Co,0.3333,PacifiCorp,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,
8937,PacifiCorp,8069.0,Huntington,1,Conventional Steam Coal,S,29041510.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8977,Otter Tail Power Co,8222.0,Coyote,1,Conventional Steam Coal,J,1314634.4,Montana-Dakota Utilities Co,0.25,"Minnkota Power Coop, Inc",0.3,NorthWestern Energy - (SD),0.1,Otter Tail Power Co,0.35,,,,,,,,,,,,,,,,,,,,,,
8978,Tucson Electric Power Co,8223.0,Springerville,1,Conventional Steam Coal,S,103.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8979,Tucson Electric Power Co,8223.0,Springerville,2,Conventional Steam Coal,S,648735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8980,Tucson Electric Power Co,8223.0,Springerville,3,Conventional Steam Coal,W,196023.5,Springerville Unit 3 Holding LLC,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8981,Tucson Electric Power Co,8223.0,Springerville,4,Conventional Steam Coal,W,270078.2,Salt River Project,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14161,Wisconsin Electric Power Co,56068.0,Elm Road Generating Station,1,Conventional Steam Coal,J,0.0,Madison Gas & Electric Co,0.0833,WPPI Energy,0.0833,We Power,0.8334,,,,,,,,,,,,,,,,,,,,,,,,
14162,Wisconsin Electric Power Co,56068.0,Elm Road Generating Station,2,Conventional Steam Coal,J,0.0,Madison Gas & Electric Co,0.0833,WPPI Energy,0.0833,We Power,0.8334,,,,,,,,,,,,,,,,,,,,,,,,
15010,"Black Hills Power, Inc. d/b/a",56596.0,Wygen III,5,Conventional Steam Coal,J,3658828.8,Montana-Dakota Utilities Co,0.25,"Black Hills Power, Inc. d/b/a",0.52,City Of Gillette,0.23,,,,,,,,,,,,,,,,,,,,,,,,
